climcoordinates,wid,climlatitude,climlongitude
"46.69083333,-71.97166667",wid41,46.69083333,-71.97166667
"45.37277778,-72.77388889",wid42,45.37277778,-72.77388889
"48.77527778,-64.47972222",wid43,48.77527778,-64.47972222
"46.66666667,-71.91666667",wid44,46.66666667,-71.91666667
"46.68333333,-71.73333333",wid45,46.68333333,-71.73333333
"52.22638889,-78.5225",wid46,52.22638889,-78.5225
"45.88333333,-72.48333333",wid47,45.88333333,-72.48333333
"45.3,-72.9",wid48,45.3,-72.9
"45.8,-73.0",wid49,45.8,-73
"46.48333333,-72.05",wid50,46.48333333,-72.05
"45.13333333,-72.23333333",wid51,45.13333333,-72.23333333
"45.38333333,-72.71666667",wid52,45.38333333,-72.71666667
"48.25805556,-69.52277778",wid53,48.25805556,-69.52277778
"49.31666667,-67.61666667",wid54,49.31666667,-67.61666667
"48.25,-69.51666667",wid55,48.25,-69.51666667
"48.77694444,-64.47805556",wid56,48.77694444,-64.47805556
"47.1,-72.93333333",wid57,47.1,-72.93333333
"47.42527778,-61.77472222",wid58,47.42527778,-61.77472222
"50.22083333,-64.20722222",wid59,50.22083333,-64.20722222
"48.41555556,-68.89277778",wid60,48.41555556,-68.89277778
"45.83944444,-75.64805556",wid61,45.83944444,-75.64805556
"58.47194444,-78.07694444",wid62,58.47194444,-78.07694444
"47.425,-61.77805556",wid63,47.425,-61.77805556
"46.66666667,-72.6",wid64,46.66666667,-72.6
"46.01666667,-73.43333333",wid65,46.01666667,-73.43333333
"45.06666667,-73.71666667",wid66,45.06666667,-73.71666667
"45.05,-74.16666667",wid67,45.05,-74.16666667
"45.33333333,-73.25",wid68,45.33333333,-73.25
"62.41722222,-77.92527778",wid69,62.41722222,-77.92527778
"47.41666667,-61.78333333",wid70,47.41666667,-61.78333333
"46.68333333,-70.85",wid71,46.68333333,-70.85
"48.42500333,-71.14250028",wid72,48.42500333,-71.14250028
"48.06888889,-69.55555556",wid73,48.06888889,-69.55555556
"49.08527778,-61.70055556",wid74,49.08527778,-61.70055556
"46.99666667,-70.80833333",wid75,46.99666667,-70.80833333
"48.29810333,-70.91953694",wid76,48.29810333,-70.91953694
"53.75722222,-73.67861111",wid77,53.75722222,-73.67861111
"53.75472222,-73.67527778",wid78,53.75472222,-73.67527778
"53.62527778,-77.70416667",wid79,53.62527778,-77.70416667
"58.08944444,-68.42222222",wid80,58.08944444,-68.42222222
"55.28194444,-77.76527778",wid81,55.28194444,-77.76527778
"55.36666667,-77.56666667",wid82,55.36666667,-77.56666667
"61.58861111,-71.92944444",wid83,61.58861111,-71.92944444
"60.02722222,-69.99916667",wid84,60.02722222,-69.99916667
"58.71138889,-65.99277778",wid85,58.71138889,-65.99277778
"53.75722222,-73.67916667",wid86,53.75722222,-73.67916667
"53.63333333,-77.7",wid87,53.63333333,-77.7
"55.28333333,-77.75",wid88,55.28333333,-77.75
"58.1,-68.41666667",wid89,58.1,-68.41666667
"45.26666667,-72.16666667",wid90,45.26666667,-72.16666667
"47.41111111,-72.7875",wid91,47.41111111,-72.7875
"46.18333333,-72.91666667",wid92,46.18333333,-72.91666667
"50.27138889,-64.22638889",wid93,50.27138889,-64.22638889
"51.5325,-71.11083333",wid94,51.5325,-71.11083333
"47.35583333,-70.03194444",wid95,47.35583333,-70.03194444
"46.30361111,-72.06083333",wid96,46.30361111,-72.06083333
"48.30722222,-71.12916667",wid97,48.30722222,-71.12916667
"45.6,-70.88333333",wid98,45.6,-70.88333333
"46.86666667,-72.4",wid99,46.86666667,-72.4
"45.3,-74.05",wid100,45.3,-74.05
"45.6,-70.86666667",wid101,45.6,-70.86666667
"45.38333333,-73.43333333",wid102,45.38333333,-73.43333333
"46.33333333,-71.66666667",wid103,46.33333333,-71.66666667
"46.81666667,-71.1",wid104,46.81666667,-71.1
"45.36888889,-71.82361111",wid105,45.36888889,-71.82361111
"45.63333333,-71.36666667",wid106,45.63333333,-71.36666667
"45.65,-74.33333333",wid107,45.65,-74.33333333
"46.36666667,-74.76666667",wid108,46.36666667,-74.76666667
"49.11666667,-68.38333333",wid109,49.11666667,-68.38333333
"48.28333333,-67.56666667",wid110,48.28333333,-67.56666667
"48.21666667,-72.16666667",wid111,48.21666667,-72.16666667
"48.41666667,-71.75",wid112,48.41666667,-71.75
"48.8,-78.28333333",wid113,48.8,-78.28333333
"51.86722222,-63.28361111",wid114,51.86722222,-63.28361111
"45.50474167,-73.57916667",wid115,45.50474167,-73.57916667
"49.75778333,-77.79307222",wid116,49.75778333,-77.79307222
"48.59833333,-71.71583333",wid117,48.59833333,-71.71583333
"50.65638889,-70.53194444",wid118,50.65638889,-70.53194444
"48.60888889,-68.2075",wid119,48.60888889,-68.2075
"46.26666667,-73.01666667",wid120,46.26666667,-73.01666667
"45.75,-73.6",wid121,45.75,-73.6
"51.44194444,-57.18611111",wid122,51.44194444,-57.18611111
"45.26666667,-72.11666667",wid123,45.26666667,-72.11666667
"45.4,-73.13333333",wid124,45.4,-73.13333333
"45.58333333,-71.11666667",wid125,45.58333333,-71.11666667
"45.53333333,-76.05",wid126,45.53333333,-76.05
"46.27472222,-75.99194444",wid127,46.27472222,-75.99194444
"46.30180556,-76.00605556",wid128,46.30180556,-76.00605556
"46.56666667,-75.55",wid129,46.56666667,-75.55
"51.45,-57.18333333",wid130,51.45,-57.18333333
"48.41666667,-78.73333333",wid131,48.41666667,-78.73333333
"45.46666667,-73.75",wid132,45.46666667,-73.75
"45.7,-74.93333333",wid133,45.7,-74.93333333
"46.22583333,-72.65722222",wid134,46.22583333,-72.65722222
"48.84166667,-72.54694444",wid135,48.84166667,-72.54694444
"48.89416667,-71.03166667",wid136,48.89416667,-71.03166667
"50.19000111,-61.81083361",wid137,50.19000111,-61.81083361
"61.31283306,-73.66840667",wid138,61.31283306,-73.66840667
"45.5,-74.06666667",wid139,45.5,-74.06666667
"46.2,-72.61666667",wid140,46.2,-72.61666667
"45.4,-71.08333333",wid141,45.4,-71.08333333
"45.11666667,-74.05",wid142,45.11666667,-74.05
"45.51666667,-73.41666667",wid143,45.51666667,-73.41666667
"46.4,-75.08333333",wid144,46.4,-75.08333333
"45.8,-74.98333333",wid145,45.8,-74.98333333
"47.92222444,-74.62416861",wid146,47.92222444,-74.62416861
"48.26027778,-70.11444444",wid147,48.26027778,-70.11444444
"48.13555556,-69.71638889",wid148,48.13555556,-69.71638889
"46.80361111,-71.38166667",wid149,46.80361111,-71.38166667
"50.1625,-66.43388889",wid150,50.1625,-66.43388889
"57.90944611,-72.97583444",wid151,57.90944611,-72.97583444
"46.79111111,-71.39333333",wid152,46.79111111,-71.39333333
"60.05222222,-77.2875",wid153,60.05222222,-77.2875
"46.8,-71.38333333",wid154,46.8,-71.38333333
"45.5,-74.36666667",wid155,45.5,-74.36666667
"61.04638889,-69.61777778",wid156,61.04638889,-69.61777778
"45.03333333,-73.08333333",wid157,45.03333333,-73.08333333
"46.08333333,-72.83333333",wid158,46.08333333,-72.83333333
"45.7,-73.5",wid159,45.7,-73.5
"45.65,-74.8",wid160,45.65,-74.8
"50.28333333,-64.78333333",wid161,50.28333333,-64.78333333
"48.45,-68.51666667",wid162,48.45,-68.51666667
"48.76666667,-72.03333333",wid163,48.76666667,-72.03333333
"46.2,-77.7",wid164,46.2,-77.7
"48.24583333,-79.03416667",wid165,48.24583333,-79.03416667
"54.8,-66.8",wid166,54.8,-66.8
"50.21666667,-66.25",wid167,50.21666667,-66.25
"45.82533333,-72.53697222",wid168,45.82533333,-72.53697222
"46.81555833,-74.09390278",wid169,46.81555833,-74.09390278
"54.80527778,-66.80527778",wid170,54.80527778,-66.80527778
"48.20611111,-78.83555556",wid171,48.20611111,-78.83555556
"48.52,-72.26583333",wid172,48.52,-72.26583333
"50.22333333,-66.26555556",wid173,50.22333333,-66.26555556
"62.17944583,-75.67027944",wid174,62.17944583,-75.67027944
"46.98333333,-71.83333333",wid175,46.98333333,-71.83333333
"62.17944444,-75.66722222",wid176,62.17944444,-75.66722222
"45.21666667,-73.2",wid177,45.21666667,-73.2
"54.80252,-66.80445333",wid178,54.80252,-66.80445333
"45.36666667,-71.53333333",wid179,45.36666667,-71.53333333
"46.5,-71.08333333",wid180,46.5,-71.08333333
"46.86666667,-70.88333333",wid181,46.86666667,-70.88333333
"48.51666667,-72.26666667",wid182,48.51666667,-72.26666667
"45.43861111,-71.69138889",wid183,45.43861111,-71.69138889
"46.71666667,-72.08333333",wid184,46.71666667,-72.08333333
"46.53333333,-73.15",wid185,46.53333333,-73.15
"46.35,-73.35",wid186,46.35,-73.35
"46.28333333,-73.75",wid187,46.28333333,-73.75
"46.31666667,-74.2",wid188,46.31666667,-74.2
"45.66666667,-71.73333333",wid189,45.66666667,-71.73333333
"45.66666667,-73.3",wid190,45.66666667,-73.3
"45.13333333,-74.35",wid191,45.13333333,-74.35
"45.08333333,-73.38333333",wid192,45.08333333,-73.38333333
"46.05,-70.51666667",wid193,46.05,-70.51666667
"46.06666667,-70.96666667",wid194,46.06666667,-70.96666667
"46.1,-71.58333333",wid195,46.1,-71.58333333
"46.48333333,-71.56666667",wid196,46.48333333,-71.56666667
"45.88333333,-72.76666667",wid197,45.88333333,-72.76666667
"45.43333333,-71.68333333",wid198,45.43333333,-71.68333333
"46.03333333,-73.11666667",wid199,46.03333333,-73.11666667
"45.61666667,-76.46666667",wid200,45.61666667,-76.46666667
"45.96666667,-77.25",wid201,45.96666667,-77.25
"46.48333333,-70.21666667",wid202,46.48333333,-70.21666667
"48.56666667,-71.33333333",wid203,48.56666667,-71.33333333
"46.08027778,-74.55583333",wid204,46.08027778,-74.55583333
"45.12083333,-74.28944444",wid205,45.12083333,-74.28944444
"46.58333333,-72.23333333",wid206,46.58333333,-72.23333333
"46.2,-73.6",wid207,46.2,-73.6
"46.81666667,-71.91666667",wid208,46.81666667,-71.91666667
"45.95,-73.58333333",wid209,45.95,-73.58333333
"45.73333333,-73.88333333",wid210,45.73333333,-73.88333333
"46.53333333,-72.43333333",wid211,46.53333333,-72.43333333
"45.5,-73.85",wid212,45.5,-73.85
"45.56666667,-72.91666667",wid213,45.56666667,-72.91666667
"45.75,-70.68333333",wid214,45.75,-70.68333333
"45.2,-71.5",wid215,45.2,-71.5
"45.73333333,-72.61666667",wid216,45.73333333,-72.61666667
"46.25,-71.21666667",wid217,46.25,-71.21666667
"46.21666667,-70.5",wid218,46.21666667,-70.5
"45.76666667,-70.95",wid219,45.76666667,-70.95
"46.33333333,-71.05",wid220,46.33333333,-71.05
"45.93333333,-70.48333333",wid221,45.93333333,-70.48333333
"46.16666667,-72.33333333",wid222,46.16666667,-72.33333333
"46.85,-75.33333333",wid223,46.85,-75.33333333
"45.98333333,-74.0",wid224,45.98333333,-74
"45.8,-74.05",wid225,45.8,-74.05
"48.88333333,-67.11666667",wid226,48.88333333,-67.11666667
"48.61666667,-72.41666667",wid227,48.61666667,-72.41666667
"46.68333333,-73.91666667",wid228,46.68333333,-73.91666667
"46.35361111,-72.51611111",wid229,46.35361111,-72.51611111
"48.05333333,-77.78277778",wid230,48.05333333,-77.78277778
"46.35166667,-72.68055556",wid231,46.35166667,-72.68055556
"46.38333333,-72.61666667",wid232,46.38333333,-72.61666667
"46.35,-72.66666667",wid233,46.35,-72.66666667
"45.65,-73.88333333",wid234,45.65,-73.88333333
"58.66777778,-69.95583333",wid235,58.66777778,-69.95583333
"56.53611111,-76.51833333",wid236,56.53611111,-76.51833333
"45.61666667,-73.13333333",wid237,45.61666667,-73.13333333
"45.21666667,-73.85",wid238,45.21666667,-73.85
"45.06666667,-72.68333333",wid239,45.06666667,-72.68333333
"46.1,-71.35",wid240,46.1,-71.35
"48.4,-70.53333333",wid241,48.4,-70.53333333
"46.41666667,-70.46666667",wid242,46.41666667,-70.46666667
"46.73333333,-70.01666667",wid243,46.73333333,-70.01666667
"45.72305556,-73.37666667",wid244,45.72305556,-73.37666667
"46.90277778,-71.50361111",wid245,46.90277778,-71.50361111
"51.47333333,-78.75833333",wid246,51.47333333,-78.75833333
"53.01055556,-78.83111111",wid247,53.01055556,-78.83111111
"46.38333333,-70.93333333",wid248,46.38333333,-70.93333333
"45.28333333,-74.1",wid249,45.28333333,-74.1
"45.76666667,-73.36666667",wid250,45.76666667,-73.36666667
"46.06666667,-76.05",wid251,46.06666667,-76.05
